,region_name,all_confirmed
0,Тернопільська,396561
1,Рівненська,331314
2,Івано-Франківська,447444
3,Чернігівська,259670
4,Волинська,274368
5,Черкаська,194756
6,Закарпатська,428041
7,Хмельницька,271815
8,Полтавська,130725
9,Київська,453738
10,Дніпропетровська,293106
11,Харківська,1061760
12,м. Київ,1515433
13,Донецька,207138
14,Кіровоградська,33814
15,Херсонська,54545
16,Чернівецька,468395
17,Луганська,57484
18,Миколаївська,197526
19,Сумська,243168
20,Житомирська,214949
21,Вінницька,218090
22,Запорізька,246043
23,Львівська,997261
24,Одеська,862207
